"","UniqueID","StateAbbr","CityName","Cancer_value","Binge_value","Smoke_value","LPA_value","Sleep_value","Obesity_value"
"329","5182000","VA","Virginia Beach",6.1,19.6,16.9,20.9,37.3,27.7
"330","523290","AR","Fayetteville",6.7,15.9,20.3,26.8,34.5,32.9
"331","524550","AR","Fort Smith",6.3,13.8,25.7,35,35.4,35.5
"332","5303180","WA","Auburn",6.3,17.2,16,18.6,32.5,27.7
"333","5305210","WA","Bellevue",6.1,17,8.7,12,28.5,19.6
"334","5305280","WA","Bellingham",6.4,18,15.8,16.1,31.1,30.2
"335","5322640","WA","Everett",6.1,16.4,17.9,20.2,37.3,31.8
"336","5323515","WA","Federal Way",6.1,16.4,14.5,18.4,32.6,26.7
"337","5335275","WA","Kennewick",6.3,17.6,18.2,20.3,33.8,34.9
"338","5335415","WA","Kent",6.1,15.9,15.5,19.6,33.1,27.4
"339","535710","AR","Jonesboro",6.6,13.9,21.9,29.8,32.7,36.5
"340","5357745","WA","Renton",6,16.4,12.6,16.5,31.7,24.2
"341","5363000","WA","Seattle",6.2,17.7,10.4,13.4,29.1,23.1
"342","5367000","WA","Spokane",6.6,17.6,19.7,19.9,32.7,31.4
"343","5367167","WA","Spokane Valley",6.7,18.8,19,18.6,32.2,30.3
"344","5370000","WA","Tacoma",6.4,16.1,18,20.5,37.9,32.9
"345","5374060","WA","Vancouver",6.3,16.7,17.5,18.7,32.4,31.2
"346","5380010","WA","Yakima",6,15.5,19.2,24.8,33.8,34.8
"347","541000","AR","Little Rock",6.3,15.2,19.7,28.9,36.4,34.3
"348","5414600","WV","Charleston",6.3,13.7,22.7,24.3,40.3,37.2
"349","5502375","WI","Appleton",6.4,24,17.8,19.1,29.7,30.3
"350","5531000","WI","Green Bay",6.3,25,20.7,23.8,36,34.7
"351","5539225","WI","Kenosha",6.2,23.8,20.6,22.8,34.7,32.8
"352","5548000","WI","Madison",6.3,25.3,14.1,16.2,29.3,27.6
"353","5553000","WI","Milwaukee",5.8,21.5,22.2,28.8,39.2,38.5
"354","5566000","WI","Racine",6,21.4,21.3,25.5,39.8,37.8
"355","5584250","WI","Waukesha",6.3,24.2,16.9,18.4,33.2,29.2
"356","5613900","WY","Cheyenne",6.2,16.8,19.9,23.4,33.4,29.4
"357","566080","AR","Springdale",6.3,14.7,23.9,34.8,36.3,36
"358","600562","CA","Alameda",5.6,18.3,11.8,15.7,33.7,18.1
"359","600884","CA","Alhambra",4.6,12.7,11.2,22.4,38,18.4
"360","602000","CA","Anaheim",5.3,15.4,13.9,22.2,33.7,24.2
"361","602252","CA","Antioch",5.7,15.6,15.3,22,35.4,29.8
"362","602364","CA","Apple Valley",5.9,17.5,17.6,22.6,38.5,28.4
"363","603526","CA","Bakersfield",5.7,17.7,16.8,24.6,36.9,29.6
"364","603666","CA","Baldwin Park",4.6,15.1,13.2,26.7,37.4,26.6
"365","604982","CA","Bellflower",5.3,15.8,14,23,37.8,26.9
"366","606000","CA","Berkeley",6,18.8,11.4,14.5,32.5,20.6
"367","608786","CA","Buena Park",5.2,14.9,13.3,21.1,34.1,21.9
"368","608954","CA","Burbank",5.9,18.6,12.3,16.4,34,22.3
"369","611194","CA","Carlsbad",6.2,22.9,10.6,12.7,30.2,18
"370","611530","CA","Carson",4.9,15.1,12.2,21.1,38.8,24.2
"371","613014","CA","Chico",6.4,18.4,16.1,18.8,33.4,26.1
"372","613210","CA","Chino",5.2,17.9,13.5,21.2,37.4,25.4
"373","613214","CA","Chino Hills",5.1,17.1,10.1,16.4,36.1,19.5
"374","613392","CA","Chula Vista",5.1,18.6,12.3,21,34.1,21.9
"375","613588","CA","Citrus Heights",6.3,19.9,16.6,19.7,35.6,28.2
"376","614218","CA","Clovis",6,17.6,14,18.7,33.4,29.2
"377","615044","CA","Compton",4.9,14.1,17,29.6,41.4,34.8
"378","616000","CA","Concord",5.9,16.6,13.9,19.5,33.1,27.1
"379","616350","CA","Corona",5.6,18.4,13.7,21.9,37.6,26.9
"380","616532","CA","Costa Mesa",5.9,17.5,13.3,18,31.7,23.2
"381","617918","CA","Daly City",4.8,13.4,10.9,19.8,34.9,18.6
"382","619766","CA","Downey",5.2,17,12,21.4,35.5,25.8
